Comment,Designator,Footprint,Manufacturer,MPN,LCSC Part #,DNP,Assembly Notes
10uF 10V X5R,C_BAT,MW_FACTORY:wand_C_BAT,Murata,GRM21BR61A106KE19L,C77073,NO,
10uF 10V X5R,C_BUCK_IN,MW_FACTORY:wand_C_BUCK_IN,Murata,GRM21BR61A106KE19L,C77073,NO,
22uF 6.3V X5R,C_BUCK_OUT,MW_FACTORY:wand_C_BUCK_OUT,Murata,GRM21BR60J226ME39L,C77071,NO,
10uF 10V X5R,C_CHG_IN,MW_FACTORY:wand_C_CHG_IN,Murata,GRM21BR61A106KE19L,C77073,NO,
1uF 10V X5R,C_HAPTIC_REG,MW_FACTORY:wand_C_HAPTIC_REG,Samsung Electro-Mechanics,CL05A105KP5NNNC,C14445,NO,
1uF 10V X5R,C_HAPTIC_VDD,MW_FACTORY:wand_C_HAPTIC_VDD,Samsung Electro-Mechanics,CL05A105KP5NNNC,C14445,NO,
100nF 16V X7R,C_IMU_IO,MW_FACTORY:wand_C_IMU_IO,Murata,GRM155R71C104KA88D,C1525,NO,
100nF 16V X7R,C_IMU_VDD,MW_FACTORY:wand_C_IMU_VDD,Murata,GRM155R71C104KA88D,C1525,NO,
10uF 10V X5R,C_SYS,MW_FACTORY:wand_C_SYS,Murata,GRM21BR61A106KE19L,C77073,NO,
10uF 10V X5R,C_USB,MW_FACTORY:wand_C_USB,Murata,GRM21BR61A106KE19L,C77073,NO,
500mA PTC,F1,MW_FACTORY:wand_F1,Bourns,MF-FSMF050X-2,C210357,NO,
USB-C-16P,J1,MW_FACTORY:wand_J1,JAE,DX07S016JA1R1500,C3197885,NO,Controlled board-edge overhang; mechanical radial opening datum
SM03B-SRSS-TB,J2,MW_FACTORY:wand_J2,JST,SM03B-SRSS-TB(LF)(SN),C160403,NO,
SM02B-SRSS-TB,J3,MW_FACTORY:wand_J3,JST,SM02B-SRSS-TB(LF)(SN),C160402,NO,
2.2uH,L1,MW_FACTORY:wand_L1,Coilcraft,XFL4020-222MEC,C122469,NO,
100k,R_ARM,MW_FACTORY:wand_R_ARM,Yageo,RC0402FR-07100KL,C25741,NO,
1k,R_ARM_SER,MW_FACTORY:wand_R_ARM_SER,Yageo,RC0402FR-071KL,C106235,NO,
5.1k,R_CC1,MW_FACTORY:wand_R_CC1,Yageo,RC0402FR-075K1L,C25905,NO,
5.1k,R_CC2,MW_FACTORY:wand_R_CC2,Yageo,RC0402FR-075K1L,C25905,NO,
36.5k,R_CFG1,MW_FACTORY:wand_R_CFG1,Yageo,RC0402FR-0736K5L,C15011,NO,
0R,R_CFG2,MW_FACTORY:wand_R_CFG2,Yageo,RC0402JR-070RL,C17168,NO,
16.2k,R_CFG3,MW_FACTORY:wand_R_CFG3,Yageo,RC0402FR-0716K2L,C138050,NO,
100k,R_HAPTIC_EN,MW_FACTORY:wand_R_HAPTIC_EN,Yageo,RC0402FR-07100KL,C25741,NO,
4.7k,R_I2C_SCL,MW_FACTORY:wand_R_I2C_SCL,Yageo,RC0402FR-074K7L,C105871,NO,
4.7k,R_I2C_SDA,MW_FACTORY:wand_R_I2C_SDA,Yageo,RC0402FR-074K7L,C105871,NO,
18.0k,R_ILIM,MW_FACTORY:wand_R_ILIM,Yageo,RC0402FR-0718KL,C138044,NO,
1.00k,R_ISET,MW_FACTORY:wand_R_ISET,Yageo,RC0402FR-071KL,C106235,NO,
10k,R_STAT1,MW_FACTORY:wand_R_STAT1,Yageo,RC0402FR-0710KL,C25744,NO,
10k,R_STAT2,MW_FACTORY:wand_R_STAT2,Yageo,RC0402FR-0710KL,C25744,NO,
PRESS_TO_ARM,SW1,MW_FACTORY:wand_SW1,ALPS Alpine,SKQGAFE010,C202424,NO,
NINA-B302-00B-00,U1,MW_FACTORY:wand_U1,u-blox,NINA-B302-00B-00,C6335962,NO,Internal PIFA faces board end
LSM6DSV16XTR,U2,MW_FACTORY:wand_U2,STMicroelectronics,LSM6DSV16XTR,C5267406,NO,
BQ25185DLHR,U3,MW_FACTORY:wand_U3,Texas Instruments,BQ25185DLHR,C19725033,NO,
TPS63900DSKR,U4,MW_FACTORY:wand_U4,Texas Instruments,TPS63900DSKR,C1518762,NO,
DRV2605LDGSR,U5,MW_FACTORY:wand_U5,Texas Instruments,DRV2605LDGSR,C527464,NO,
USBLC6-2SC6,U6,MW_FACTORY:wand_U6,STMicroelectronics,USBLC6-2SC6,C7519,NO,
